year,AIAN,API,Black,Latino,Total,White
2000,7.37863353929793e-05,0.0001093306350895,0.0001085578386369,8.45322388796252e-05,5.58405744647931e-05,5.09249897561628e-05
2001,7.58021588725417e-05,0.0001064766013081,0.000105697193159,8.36460583786339e-05,5.49532552891705e-05,4.99074055923431e-05
2002,7.64392808386927e-05,0.0001023995246254,0.0001047333323356,8.12134141041926e-05,5.40941329875247e-05,4.89547980745858e-05
2003,7.61929531093737e-05,9.91011261052004e-05,0.0001013405470802,7.98082673781524e-05,5.31192745203279e-05,4.79823003366775e-05
2004,7.50218831312373e-05,9.39009383013657e-05,9.69909923827174e-05,7.61669993158199e-05,5.0756848468447e-05,4.56163315271161e-05
2005,7.88142844666322e-05,9.44570734947798e-05,9.6142622162701e-05,7.49072017730297e-05,5.05801062049429e-05,4.51425038885213e-05
2006,7.8509513272125e-05,9.15696467580277e-05,9.21296455923294e-05,7.04679598352009e-05,4.94220279894974e-05,4.41100479771661e-05
2007,7.83653416037975e-05,8.77686249875515e-05,9.07233797245043e-05,6.77807040088961e-05,4.8654150239756e-05,4.32921930431893e-05
2008,7.72933206589821e-05,8.56799893953303e-05,8.94828445232699e-05,6.78262261319872e-05,4.81167192216629e-05,4.27189340693449e-05
2009,7.42000236917266e-05,8.32519689473875e-05,8.60790798418897e-05,6.64856499095201e-05,4.67318179074262e-05,4.1467816076933e-05
2010,7.40047557399654e-05,8.18712824929978e-05,8.34876849693157e-05,6.61606584216989e-05,4.61519405129164e-05,4.08502937840955e-05
2011,7.19637782216748e-05,7.97396177450068e-05,8.17448801127284e-05,6.41815857053608e-05,4.51642446516719e-05,3.98885504512996e-05
2012,7.18997363657432e-05,7.90803676228825e-05,7.93321996577139e-05,6.36301406929294e-05,4.49653682501515e-05,3.96772692393472e-05
2013,7.14073978345125e-05,7.61675446998186e-05,7.68254246181295e-05,6.23258640326308e-05,4.45862863789407e-05,3.93611903182819e-05
2014,7.0966674570566e-05,7.5449477032686e-05,7.57859015659297e-05,6.196793849078e-05,4.44196445528145e-05,3.91141126069607e-05
2015,7.00875013066379e-05,7.48997215561315e-05,7.39765432102532e-05,6.04626594066268e-05,4.39248590732151e-05,3.8601474551144e-05
2016,6.93001892415518e-05,7.37275982780749e-05,7.24807654173072e-05,6.03345115107599e-05,4.37832094101918e-05,3.84695808161151e-05
2017,6.77044038846757e-05,7.084129045396e-05,6.82839030397915e-05,5.97740245276221e-05,4.26443530636968e-05,3.74277311772145e-05
2018,6.6089995220148e-05,6.7004047722528e-05,6.71010595394868e-05,5.88630987284907e-05,4.17516421929243e-05,3.65026675950526e-05
2019,6.54640360637733e-05,6.48076835090543e-05,6.491796308e-05,5.67256158403073e-05,4.12895097593581e-05,3.61258481922436e-05
